recorded_at,period_key,month_num,store_key,brand_name,flavor_name,tupper_basic,tupper_reserve,merch_pkg_50,merch_pkg_100,merch_pkg_125,merch_pkg_200,merch_pkg_250,merch_pkg_1kg,stock_pkg_50,stock_pkg_100,stock_pkg_125,stock_pkg_200,stock_pkg_250,stock_pkg_1kg,stock_other
2025-12-22,202512,12,baba_2nd,AZR GOLD (Azure Gold Line),Black Tea,134,,,5,,,,,,2,,,,,
2025-12-26,202512,12,office,AZR GOLD (Azure Gold Line),California Blue,,,,,,,,,,,,,,,
2025-12-25,202512,12,baba_main,AZR GOLD (Azure Gold Line),California Blue,76,,,,,,,,,,,,,,
2025-12-26,202512,12,nakano,AZR GOLD (Azure Gold Line),California Blue,191,,,,,,,,,,,,,,
2025-12-22,202512,12,baba_2nd,AZR GOLD (Azure Gold Line),California Blue,126,,,,,,,,,,,,,,
2025-12-26,202512,12,office,AZR BLACK (Azure Black Line),California Blue (Black),,,,,,,,,,10,,,,,
2025-12-25,202512,12,baba_main,AZR BLACK (Azure Black Line),California Blue (Black),17,,,,,,,,,,,,,,
2025-12-26,202512,12,nakano,AZR BLACK (Azure Black Line),California Blue (Black),73,,,3,,,,,,,,,,,
2025-12-22,202512,12,baba_2nd,AZR BLACK (Azure Black Line),California Blue (Black),10,,,5,,,,,,5,,,,,
2025-12-26,202512,12,office,AZR GOLD (Azure Gold Line),Carolina Peach,,,,,,,,,,90,,,,,
2025-12-25,202512,12,baba_main,AZR GOLD (Azure Gold Line),Carolina Peach,132,,,5,,,,,,4,,,,,
2025-12-26,202512,12,nakano,AZR GOLD (Azure Gold Line),Carolina Peach,123,,,4,,,,,,3,,,,,
2025-12-22,202512,12,baba_2nd,AZR GOLD (Azure Gold Line),Carolina Peach,122,,,5,,,,,,6,,,,,
2025-12-26,202512,12,office,AZR GOLD (Azure Gold Line),Chai Masala,,,,,,,,,,155,,,,,
2025-12-25,202512,12,baba_main,AZR GOLD (Azure Gold Line),Chai Masala,130,,,3,,,,,,,,,,,
2025-12-26,202512,12,nakano,AZR GOLD (Azure Gold Line),Chai Masala,218,,,5,,,,,,1,,,,,
2025-12-22,202512,12,baba_2nd,AZR GOLD (Azure Gold Line),Chai Masala,160,,,5,,,,,,4,,,,,
2025-12-26,202512,12,office,AZR GOLD (Azure Gold Line),Chocolate Cake,,,,,,,,,,110,,,,,
2025-12-25,202512,12,baba_main,AZR GOLD (Azure Gold Line),Chocolate Cake,84,,,3,,,,,,,,,,,
2025-12-26,202512,12,nakano,AZR GOLD (Azure Gold Line),Chocolate Cake,133,,,2,,,,,,9,,,,,
2025-12-22,202512,12,baba_2nd,AZR GOLD (Azure Gold Line),Chocolate Cake,130,,,5,,,,,,1,,,,,
2025-12-26,202512,12,office,AZR GOLD (Azure Gold Line),Chocolate Mint,,,,,,,,,,125,,,,,
2025-12-25,202512,12,baba_main,AZR GOLD (Azure Gold Line),Chocolate Mint,222,,,4,,,,,,6,,,,,
2025-12-26,202512,12,nakano,AZR GOLD (Azure Gold Line),Chocolate Mint,185,,,5,,,,,,3,,,,,
