recorded_at,month_num,store_key,brand_name,flavor_name,tupper_basic,tupper_reserve,pkg_50,pkg_100,pkg_125,pkg_200,pkg_250,pkg_1kg,val_other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-25,12,office,ブランド,フレーバー,,,,合計,事務所タッパー,,,,,事務所在庫,,,,,,,,事務所物販,,,,,,,事務所合計,高田馬場本店タッパー,,,,,高田馬場本店在庫,,,,,,,,高田馬場本店物販,,,,,,,高田馬場本店合計,中野店タッパー,,,,,中野店在庫,,,,,,,,中野店物販,,,,,,,中野店合計,高田馬場2号店タッパー,,,,,高田馬場2号店在庫,,,,,,,,高田馬場2号店物販,,,,,,
,,,,名前,"メニュー
内/外","ホース
の色","標準
タッパー数",,基本,予備1,予備2,予備3,合計,50g,100g,125g,200g,250g,1kg,他,合計,50g,100g,125g,200g,250g,1kg,合計,,基本,予備1,予備2,予備3,合計,50g,100g,125g,200g,250g,1kg,他,合計,50g,100g,125g,200g,250g,1kg,合計,,基本,予備1,予備2,予備3,合計,50g,100g,125g,200g,250g,1kg,他,合計,50g,100g,125g,200g,250g,1kg,合計,,基本,予備1,予備2,予備3,合計,50g,100g,125g,200g,250g,1kg,他,合計,50g,100g,125g,200g,250g,1kg,合計
,,,AZR BLACK (Azure Black Line),Down Under (Black),✕,Normal,,"5,000",-,-,-,-,0,,50,,,,,,"5,000",,,,,,,0,"5,000",-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0
,,,AZR BLACK (Azure Black Line),Dubai Apple (Black),✕,Strong,,"4,023",-,-,-,-,0,,33,,,,,,"3,300",,,,,,,0,"3,300",51,-,-,-,51,,,,,,,,0,,1,,,,,100,151,54,-,-,-,54,,,,,,,,0,,1,,,,,100,154,18,-,-,-,18,,,,,,,,0,,4,,,,,400
,,,AZR GOLD (Azure Gold Line),Grapefruit,◯,Normal,2,"22,172",-,-,-,-,0,,195,,,,,,"19,500",,,,,,,0,"19,500",212,14,-,-,226,,4,,,,,,400,,,,,,,0,626,175,-,-,-,175,,6,,,,,,600,,,,,,,0,775,168,203,-,-,371,,4,,,,,,400,,5,,,,,500
,,,AZR GOLD (Azure Gold Line),Green Tea,◯,Normal,2,"22,860",-,-,-,-,0,,195,,,,,,"19,500",,,,,,,0,"19,500",33,213,-,-,246,,5,,,,,,500,,5,,,,,500,"1,246",128,213,-,-,341,,,,,,,,0,,5,,,,,500,841,129,244,-,-,373,,5,,,,,,500,,4,,,,,400
,,,AZR BLACK (Azure Black Line),Green Tea (Black),✕,Normal,,"5,966",-,-,-,-,0,,53,,,,,,"5,300",,,,,,,0,"5,300",79,-,-,-,79,,1,,,,,,100,,1,,,,,100,279,66,-,-,-,66,,,,,,,,0,,1,,,,,100,166,21,-,-,-,21,,,,,,,,0,,2,,,,,200
,,,AZR GOLD (Azure Gold Line),Guavi,◯,Normal,1,"7,817",-,-,-,-,0,,55,,,,,,"5,500",,,,,,,0,"5,500",248,-,-,-,248,,,,,,,,0,,5,,,,,500,748,205,-,-,-,205,,4,,,,,,400,,3,,,,,300,905,164,-,-,-,164,,1,,,,,,100,,4,,,,,400
,,,AZR GOLD (Azure Gold Line),Ice Lime,✕,Normal,,"10,000",-,-,-,-,0,,100,,,,,,"10,000",,,,,,,0,"10,000",-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0,0,-,-,-,-,0,,,,,,,,0,,,,,,,0
,,,AZR GOLD (Azure Gold Line),Ice Pear,◯,Normal,1,"20,933",-,-,-,-,0,,185,,,,,,"18,500",,,,,,,0,"18,500",62,251,-,-,313,,5,,,,,,500,,,,,,,0,813,73,-,-,-,73,,6,,,,,,600,,,,,,,0,673,241,206,-,-,447,,5,,,,,,500,,,,,,,0
,,,AZR BLACK (Azure Black Line),Island City Blend(Black),✕,Strong,,"10,009",-,-,-,-,0,,100,,,,,,"10,000",,,,,,,0,"10,000",9,-,-,-,9,,,,,,,,0,,,,,,,0,9,0,-,-,-,0,,,,,,,,0,,,,,,,0,0,0,-,-,-,0,,,,,,,,0,,,,,,,0
,,,AZR GOLD (Azure Gold Line),Jasmine,◯,Strong,2,"19,953",-,-,-,-,0,,160,,,,,,"16,000",,,,,,,0,"16,000",122,-,-,-,122,,9,,,,,,900,,5,,,,,500,"1,522",148,0,-,-,148,,5,,,,,,500,,5,,,,,500,"1,148",161,222,-,-,383,,4,,,,,,400,,5,,,,,500
,,,AZR GOLD (Azure Gold Line),Jungle Juice,◯,Normal,1,"8,300",-,-,-,-,0,,54,,,,,,"5,400",,,,,,,0,"5,400",94,-,-,-,94,,7,,,,,,700,,5,,,,,500,"1,294",102,-,-,-,102,,2,,,,,,200,,5,,,,,500,802,204,-,-,-,204,,2,,,,,,200,,4,,,,,400
,,,AZR GOLD (Azure Gold Line),Kokutou,◯,Sweet,2,"21,965",-,-,-,-,0,,185,,,,,,"18,500",,,,,,,0,"18,500",178,235,-,-,413,,6,,,,,,600,,5,,,,,500,"1,513",278,209,-,-,487,,,,,,,,0,,3,,,,,300,787,250,215,-,-,465,,2,,,,,,200,,5,,,,,500
,,,AZR BLACK (Azure Black Line),Kokutou (Black),✕,Sweet,,"8,264",-,-,-,-,0,,70,,,,,,"7,000",,,,,,,0,"7,000",74,-,-,-,74,,2,,,,,,200,,1,,,,,100,374,46,-,-,-,46,,,,,,,,0,,3,,,,,300,346,44,-,-,-,44,,,,,,,,0,,5,,,,,500
,,,AZR GOLD (Azure Gold Line),Lemongrass,◯,Normal,1,"14,852",-,-,-,-,0,,115,,,,,,"11,500",,,,,,,0,"11,500",133,-,-,-,133,,5,,,,,,500,,5,,,,,500,"1,133",104,-,-,-,104,,,,,,,,0,,6,,,,,600,704,61,254,-,-,315,,7,,,,,,700,,5,,,,,500
